TEAM,W,D,L,RESULTS
Crystal Palace - Arsenal,4.58,3.57,1.84,l
Tottenham - Southampton,1.36,5.2,8.73,w
Newcastle - Nottingham,1.58,4.03,6.17,w
Leeds - Wolves,2.43,3.35,3,w
Leicester - Brentford,1.9,3.66,4.1,d
Fulham - Liverpool,10.48,6.09,1.28,d
Everton - Chelsea,6.53,4.04,1.56,l
Bournemouth - Aston Villa,4.01,3.46,1.99,w
West Ham - Manchester City,7.98,5.24,1.38,l
Manchester Utd - Brighton,1.78,3.74,4.7,l
Leicester - Brentford,1.9,3.66,4.1,d
Wolves - Fulham,2.21,3.39,3.4,d
Southampton - Leeds,2.44,3.54,2.86,d
Manchester City - Bournemouth,1.08,12.64,31.94,w
Brighton - Newcastle,2.43,3.26,3.08,d
Brentford - Manchester Utd,4.38,3.85,1.8,w
Aston Villa - Everton,1.78,3.6,4.97,w
Arsenal - Leicester,1.56,4.35,5.89,w
Nottingham - West Ham,4.04,3.6,1.94,w
Chelsea - Tottenham,2.16,3.46,3.44,d
Liverpool - Crystal Palace,1.27,6.11,11.84,d
Tottenham - Wolves,1.44,4.75,7.18,w
Leicester - Southampton,1.76,4.08,4.41,l
Fulham - Brentford,2.65,3.36,2.73,l
Everton - Nottingham,1.91,3.51,4.34,d
Crystal Palace - Aston Villa,2.49,3.22,3.04,w
Bournemouth - Arsenal,7.63,4.7,1.43,l
West Ham - Brighton,2.5,3.35,2.92,l
Newcastle - Manchester City,7,4.9,1.44,d
Leeds - Chelsea,6.01,4.57,1.52,w
Manchester Utd - Liverpool,4.59,4.32,1.69,w
Aston Villa - West Ham,2.1,3.45,3.65,l
Nottingham - Tottenham,6.96,4.74,1.45,l
Wolves - Newcastle,2.55,3.29,2.89,d
Arsenal - Fulham,1.39,5.27,7.59,w
Brentford - Everton,2.09,3.42,3.7,d
Brighton - Leeds,1.74,3.87,4.72,w
Chelsea - Leicester,1.4,5.04,7.74,w
Liverpool - Bournemouth,1.14,8.87,18.72,w
Manchester City - Crystal Palace,1.19,7.51,15.19,w
Southampton - Manchester Utd,3.65,3.9,1.96,l
Leicester - Manchester Utd,3.25,3.73,2.15,l
Arsenal - Aston Villa,1.53,4.46,6.1,w
Bournemouth - Wolves,3.31,3.25,2.31,d
Liverpool - Newcastle,1.28,6.15,10.19,w
Manchester City - Nottingham,1.09,11.84,27.72,w
West Ham - Tottenham,3.28,3.54,2.2,d
Crystal Palace - Brentford,2.08,3.45,3.69,d
Fulham - Brighton,3.32,3.24,2.31,w
Leeds - Everton,2.11,3.59,3.47,d
Southampton - Chelsea,5.27,4.07,1.65,w
Brighton - Leicester,1.91,3.55,4.22,w
Manchester Utd - Arsenal,2.65,3.47,2.67,w
Aston Villa - Manchester City,9.06,5.78,1.32,d
Brentford - Leeds,2.14,3.56,3.4,w
Chelsea - West Ham,1.67,3.99,5.3,w
Everton - Liverpool,7.74,5.14,1.39,d
Newcastle - Crystal Palace,2.08,3.41,3.74,d
Nottingham - Bournemouth,2.18,3.35,3.55,l
Tottenham - Fulham,1.52,4.51,6.22,w
Wolves - Southampton,2.15,3.45,3.46,w
Brentford - Arsenal,4.5,3.88,1.78,l
Everton - West Ham,2.92,3.29,2.52,w
Newcastle - Bournemouth,1.41,4.78,7.87,d
Tottenham - Leicester,1.51,4.53,6.4,w
Wolves - Manchester City,9.14,1.33,5.5,l
Aston Villa - Southampton,2.07,3.53,3.61,w
Nottingham - Fulham,2.78,3.38,2.58,l
Leicester - Nottingham,1.71,4.01,4.73,w
Leeds - Aston Villa,2.42,3.39,2.97,d
Manchester City - Manchester Utd,1.43,5.29,6.59,w
Arsenal - Tottenham,1.98,3.69,3.74,w
Bournemouth - Brentford,3.17,3.47,2.27,d
Crystal Palace - Chelsea,4.8,3.7,1.77,l
Fulham - Newcastle,2.92,3.4,2.46,l
Liverpool - Brighton,1.45,4.76,6.76,d
Southampton - Everton,2.33,3.29,3.22,l
West Ham - Wolves,2.04,3.35,3.94,w
Nottingham - Aston Villa,3.73,3.57,2.01,d
Arsenal - Liverpool,2.53,3.71,2.65,w
Crystal Palace - Leeds,2.06,3.56,3.59,w
Everton - Manchester Utd,3.58,3.56,2.07,l
West Ham - Fulham,1.63,3.98,5.5,w
Bournemouth - Leicester,3.26,3.51,2.2,w
Brighton - Tottenham,2.58,3.3,2.83,l
Chelsea - Wolves,1.5,4.28,6.84,w
Manchester City - Southampton,1.12,10.22,21.28,w
Newcastle - Brentford,1.68,3.96,5.07,w
Aston Villa - Chelsea,3.96,3.46,1.99,l
Leeds - Arsenal,5.1,4.22,1.63,l
Liverpool - Manchester City ,3.81,4.06,1.87,w
Manchester Utd - Newcastle ,2.06,3.65,3.51,d
Southampton - West Ham,2.96,3.35,2.45,d
Fulham - Bournemouth,1.95,3.6,3.93,d
Leicester - Crystal Palace  ,2.38,3.45,2.99,d
Tottenham - Everton,1.46,4.65,6.98,w
Wolves - Nottingham,1.72,3.78,5,w
Brentford - Brighton,3.23,3.44,2.26,w
Fulham - Aston Villa,2.95,3.39,2.43,w
Leicester - Leeds,2.29,3.53,3.07,w
Bournemouth - Southampton  ,2.66,3.21,2.79,l
Brentford - Chelsea,4.36,3.7,1.83,d
Liverpool - West Ham,1.42,4.98,7.12,w
Manchester Utd - Tottenham,2.37,3.48,2.98,w
Newcastle - Everton,1.67,3.9,5.31,w
Brighton - Nottingham,1.39,4.94,8.2,d
Crystal Palace - Wolves,2.1,3.28,3.79,w
West Ham - Bournemouth,1.6,4,5.89,w
Aston Villa - Brentford,2.06,3.49,3.65,w
Leeds - Fulham,2.08,3.72,3.41,l
Southampton - Arsenal,6.83,4.6,1.47,d
Tottenham - Newcastle,2.21,3.42,3.33,l
Wolves - Leicester,2.34,3.33,3.13,l
Chelsea - Manchester Utd   ,2.13,3.55,3.42,d
Everton - Crystal Palace ,2.52,3.13,3.04,w
Manchester City - Brighton ,1.23,6.68,13,w
Nottingham - Liverpool,8.89,5.43,1.34,w
Fulham - Aston Villa,2.95,3.39,2.43,w
Leicester - Leeds,2.29,3.53,3.07,w
Bournemouth - Southampton,2.66,3.21,2.79,l
Brentford - Chelsea,4.36,3.7,1.83,d
Liverpool - West Ham,1.42,4.98,7.12,w
Manchester Utd - Tottenham,2.37,3.48,2.98,w
Newcastle - Everton,1.67,3.9,5.31,w
Brighton - Nottingham,1.39,4.94,8.2,d
Crystal Palace - Wolves,2.1,3.28,3.79,w
Arsenal - Nottingham,1.22,6.75,13.2,w
Manchester Utd - West Ham,1.71,3.87,4.98,w
Bournemouth - Tottenham,4.97,3.72,1.74,l
Brentford - Wolves,2.17,3.43,3.41,d
Brighton - Chelsea,3.08,3.34,2.38,w
Crystal Palace - Southampton ,2.09,3.39,3.71,w
Fulham - Everton,2.28,3.41,3.2,d
Leicester - Manchester City ,7.58,5.05,1.4,l
Liverpool - Leeds,1.22,6.96,11.95,l
Newcastle - Aston Villa,1.76,3.8,4.65,w
Aston Villa - Manchester Utd,3.19,3.46,2.25,w
Chelsea - Arsenal,2.72,3.38,2.62,l
Southampton - Newcastle   ,4.34,3.71,1.83,l
Tottenham - Liverpool,3.49,3.74,2.03,l
West Ham - Crystal Palace   ,1.87,3.51,4.4,l
Everton - Leicester,2.51,3.33,2.9,l
Leeds - Bournemouth,1.63,4.11,5.35,w
Manchester City - Fulham    ,1.17,8,15.18,w
Nottingham - Brentford   ,2.62,3.19,2.87,d
Wolves - Brighton,3.58,3.28,2.17,l
Brighton - Aston Villa,1.75,3.74,4.93,l
Fulham - Manchester Utd,4.11,3.76,1.87,l
Bournemouth - Everton,2.8,3.19,2.66,w
Liverpool - Southampton,1.26,6.41,10.45,w
Manchester City - Brentford    ,1.15,8.42,18.41,l
Newcastle - Chelsea,2.17,3.37,3.49,w
Nottingham - Crystal Palace,3.33,3.15,2.33,w
Tottenham - Leeds,1.62,4.25,5.15,w
West Ham - Leicester,2.08,3.47,3.61,l
Wolves - Arsenal,6.33,4.11,1.54,l
Leeds - Manchester City,9.99,6.22,1.28,l
Chelsea - Bournemouth,1.34,5.28,9.01,w
Manchester Utd - Nottingham ,1.34,5.45,8.85,w
Arsenal - West Ham,1.55,4.2,6.21,w
Aston Villa - Liverpool,4.76,3.97,1.71,l
Brentford - Tottenham,3.45,3.63,2.09,d
Crystal Palace - Fulham,2.22,3.47,3.26,l
Everton - Wolves,2.5,3.21,3,l
Leicester - Newcastle,3.43,3.47,2.14,l
Southampton - Brighton,3.55,3.44,2.11,l
Nottingham - Chelsea,5.75,4.05,1.6,d
Tottenham - Aston Villa,1.65,4.12,5.11,l
Bournemouth - Crystal Palace,2.92,3.14,2.59,l
Brighton - Arsenal,4.28,3.65,1.87,l
Fulham - Southampton,1.81,3.79,4.38,w
Manchester City - Everton    ,1.15,8.24,18.5,d
Newcastle - Leeds,1.45,4.69,6.87,d
Wolves - Manchester Utd,4.08,3.61,1.92,l
Liverpool - Leicester,1.25,6.32,11.69,w
West Ham - Brentford,2.05,3.58,3.58,l
Fulham - Chelsea,4.01,3.38,2,w
Chelsea - Crystal Palace  ,1.87,3.43,4.61,w
Newcastle - Fulham      ,1.49,4.54,6.67,w
Tottenham - Arsenal        ,3.38,3.48,2.18,l
Brentford - Bournemouth   ,1.62,4,5.69,w
Brighton - Liverpool   ,2.91,3.72,2.32,w
Everton - Southampton     ,2.37,3.21,3.23,l
Manchester Utd - Man City ,3.98,3.88,1.88,w
Nottingham - Leicester    ,2.71,3.13,2.8,w
Wolves - West Ham         ,2.49,3.16,3.05,w
Aston Villa - Leeds   ,2.02,3.57,3.72,w
Manchester City - Tottenham,1.49,4.64,6.3,w
Crystal Palace - Manchester Utd,5.27,3.91,1.67,d
Fulham - Tottenham,3.27,3.77,2.12,l
Arsenal - Manchester Utd,1.86,3.77,4.15,w
Leeds - Brentford,2.37,3.53,2.94,d
Manchester City - Wolves,1.25,6.32,11.71,w
Bournemouth - Nottingham,2.84,3.16,2.64,d
Crystal Palace - Newcastle,4.52,3.58,1.83,d
Leicester - Brighton,4.15,3.87,1.84,d
Liverpool - Chelsea,2.04,3.56,3.69,d
Southampton - Aston Villa,2.66,3.18,2.83,l
West Ham - Everton,1.84,3.54,4.58,w
Nottingham - Leeds,2.76,3.36,2.59,w
Tottenham - Manchester City,3.98,3.82,1.88,w
Aston Villa - Leicester,2.1,3.47,3.55,l
Brentford - Southampton,1.76,3.68,4.91,w
Brighton - Bournemouth,1.38,5.1,8.1,w
Everton - Arsenal,7.78,4.29,1.46,w
Manchester Utd - Crystal Palace,1.37,5,8.78,w
Newcastle - West Ham,1.67,3.82,5.49,d
Wolves - Liverpool,3.94,3.74,1.91,w
Chelsea - Fulham,1.59,4.08,5.86,d
Manchester Utd - Leeds,1.51,4.48,6.21,w
Liverpool - Everton,1.58,4.16,5.9,w
Leeds - Manchester Utd,3.75,3.77,1.95,l
Manchester City - Aston Villa,1.31,5.49,9.8,w
Arsenal - Brentford,1.52,4.28,6.59,d
Bournemouth - Newcastle,5.85,3.98,1.61,d
Crystal Palace - Brighton,4.68,3.65,1.8,d
Fulham - Nottingham,1.94,3.47,4.19,w
Leicester - Tottenham,3.51,3.66,2.05,w
Southampton - Wolves,3.08,3.16,2.49,l
West Ham - Chelsea,3.46,3.3,2.2,d
Arsenal - Manchester City,3.22,3.4,2.27,l
Manchester Utd - Leicester,1.55,4.44,5.7,w
Tottenham - West Ham,1.86,3.49,4.51,w
Aston Villa - Arsenal,4.36,3.62,1.87,l
Brentford - Crystal Palace,1.81,3.52,4.76,d
Brighton - Fulham,1.54,4.32,6.1,l
Chelsea - Southampton,1.43,4.58,7.92,l
Everton - Leeds,2.75,3.17,2.74,w
Newcastle - Liverpool,2.52,3.43,2.8,l
Nottingham - Manchester City,10.82,5.35,1.31,d
Wolves - Bournemouth,1.81,3.57,4.69,l
Tottenham - Chelsea,2.91,3.28,2.53,w
Bournemouth - Manchester City,9.77,5.16,1.34,l
Crystal Palace - Liverpool,4.92,4.01,1.69,d
Everton - Aston Villa,2.61,3.12,2.94,l
Leeds - Southampton,1.95,3.61,3.92,w
Leicester - Arsenal,5.84,4.24,1.57,l
West Ham - Nottingham,1.69,3.73,5.38,w
Fulham - Wolves,2.62,3.16,2.9,d
Arsenal - Everton,1.31,5.16,11.26,w
Liverpool - Wolves,1.52,4.36,6.42,w
Brentford - Fulham,2.03,3.52,3.71,w
Liverpool - Manchester Utd,2.46,3.55,2.81,w
Nottingham - Everton,3.04,3,2.6,d
Arsenal - Bournemouth,1.22,6.72,13.39,w
Aston Villa - Crystal Palace,2.14,3.28,3.67,w
Brighton - West Ham,1.68,3.93,5.17,w
Chelsea - Leeds,1.57,4.11,6.04,w
Manchester City - Newcastle,1.5,4.42,6.67,w
Southampton - Leicester,2.8,3.29,2.59,w
Wolves - Tottenham,3.25,3.22,2.34,w
Fulham - Arsenal,7.62,4.67,1.43,l
Manchester Utd - Southampton,1.27,6.07,10.8,d
Newcastle - Wolves,1.63,3.81,5.79,w
West Ham - Aston Villa,2.31,3.25,3.27,d
Bournemouth - Liverpool,7.16,5.06,1.41,w
Crystal Palace - Manchester City,10.01,5.02,1.34,l
Everton - Brentford,2.67,3.05,2.9,w
Leeds - Brighton,4.27,3.74,1.84,d
Leicester - Chelsea,4.01,3.61,1.92,l
Tottenham - Nottingham,1.44,4.56,7.5,w
Southampton - Brentford,3.24,3.2,2.37,l
Brighton - Crystal Palace,1.37,4.94,8.91,w
Arsenal - Crystal Palace,1.26,5.83,12,w
Aston Villa - Bournemouth,1.72,3.83,4.97,w
Brentford - Leicester,1.86,3.83,4.04,d
Chelsea - Everton,1.49,4.08,7.87,d
Southampton - Tottenham,4.52,3.63,1.82,d
Wolves - Leeds,2.35,3.22,3.25,l
Nottingham - Newcastle,5.36,3.74,1.69,l
Everton - Tottenham,3.83,3.33,2.07,d
Newcastle - Manchester Utd,2.33,3.48,3.05,w
West Ham - Southampton,1.76,3.67,5,w
Arsenal - Leeds,1.26,6.34,10.94,w
Bournemouth - Fulham,2.56,3.26,2.88,w
Brighton - Brentford,1.62,4.11,5.56,d
Chelsea - Aston Villa,1.62,3.92,5.86,l
Crystal Palace - Leicester,2.39,3.29,3.12,w
Manchester City - Liverpool,1.67,4.15,4.95,w
Nottingham - Wolves,3.3,3.11,2.4,d
Bournemouth - Brighton,5.82,4.33,1.57,l
Leeds - Nottingham,1.69,3.87,5.18,w
Leicester - Aston Villa,2.72,3.37,2.66,l
Chelsea - Liverpool,2.17,3.49,3.39,d
West Ham - Newcastle,3.47,3.22,2.26,l
Manchester Utd - Brentford,1.62,4.18,5.33,w
Leeds - Crystal Palace,2.06,3.44,3.72,l
Liverpool - Arsenal,2.73,3.56,2.53,d
Aston Villa - Nottingham,1.58,4.13,5.94,w
Brentford - Newcastle,4.1,3.49,1.95,l
Fulham - West Ham,2.94,3.22,2.54,l
Leicester - Bournemouth,2.08,3.45,3.69,l
Manchester Utd - Everton,1.58,4.18,5.91,w
Southampton - Manchester City,12.09,6.18,1.25,l
Tottenham - Brighton,2.74,3.44,2.59,w
Wolves - Chelsea,4.98,3.61,1.77,w
Leeds - Liverpool,4.59,4.31,1.69,l
Nottingham - Manchester Utd,4.93,3.97,1.7,l
West Ham - Arsenal,5.58,4.17,1.61,d
Aston Villa - Newcastle,3.61,3.43,2.11,w
Chelsea - Brighton,2.96,3.37,2.45,l
Everton - Fulham,2.22,3.29,3.46,l
Manchester City - Leicester,1.14,9.18,18.65,w
Southampton - Crystal Palace,2.91,3.11,2.65,l
Tottenham - Bournemouth,1.5,4.46,6.53,l
Wolves - Brentford,2.81,3.16,2.69,w
Bournemouth - West Ham,2.98,3.28,2.5,l
Newcastle - Tottenham,1.91,3.69,4.03,w
Brentford - Aston Villa,2.64,3.28,2.8,d
Crystal Palace - Everton,1.95,3.34,4.3,d
Fulham - Leeds,2.36,3.44,3.04,w
Leicester - Wolves,2.42,3.29,3.08,w
Liverpool - Nottingham,1.17,7.98,16.57,w
Arsenal - Southampton,1.21,6.97,13.62,d
Everton - Newcastle,4.57,3.67,1.81,l
Southampton - Bournemouth,2.53,3.28,2.93,l
Tottenham - Manchester Utd,2.86,3.75,2.36,d
Chelsea - Brentford,1.79,3.67,4.77,l
Manchester City - Arsenal,1.65,4.15,5.1,w
Nottingham - Brighton,5.45,4.25,1.6,w
West Ham - Liverpool,3.61,3.82,1.99,l
Aston Villa - Fulham,1.75,3.83,4.87,w
Leeds - Leicester,2.37,3.55,2.94,d
Wolves - Crystal Palace,2.33,3.03,3.56,w
Arsenal - Chelsea,1.6,4.23,5.59,w
Leicester - Everton,2.02,3.43,3.89,d
Bournemouth - Leeds,2.47,3.39,2.92,w
Fulham - Manchester City,10.99,6.12,1.27,l
Liverpool - Tottenham,1.55,4.79,5.35,w
Manchester Utd - Aston Villa,1.74,4.07,4.48,w
Newcastle - Southampton,1.25,6.19,12.07,w
Brentford - Nottingham,1.74,3.73,5,w
Brighton - Wolves,1.6,4.16,5.64,w
Crystal Palace - West Ham,2.54,3.17,2.99,w
Brighton - Manchester Utd,2.17,3.8,3.15,w
Liverpool - Fulham,1.3,5.99,9.52,w
Manchester City - West Ham,1.17,7.97,15.93,w
Brighton - Everton,1.34,5.57,8.27,l
Fulham - Leicester,2.65,3.33,2.72,w
Nottingham - Southampton,2.01,3.49,3.86,w
Newcastle - Arsenal,2.32,3.73,2.92,l
West Ham - Manchester Utd,3.57,3.66,2.04,w
Bournemouth - Chelsea,3.53,3.62,2.08,l
Liverpool - Brentford,1.42,5.16,6.96,w
Manchester City - Leeds,1.16,8.56,16.53,w
Tottenham - Crystal Palace,1.84,3.82,4.25,w
Wolves - Aston Villa,3.12,3.32,2.39,w
Leicester - Liverpool,4.65,4.23,1.69,l
Arsenal - Brighton,1.73,4.26,4.35,l
Brentford - West Ham,1.82,3.63,4.57,w
Everton - Manchester City,8.25,5.18,1.37,l
Aston Villa - Tottenham,2.26,3.63,3.04,w
Chelsea - Nottingham,1.55,4.28,5.94,d
Crystal Palace - Bournemouth,1.76,3.76,4.81,w
Leeds - Newcastle,4.98,4.37,1.62,d
Manchester Utd - Wolves,1.38,5.22,7.96,w
Southampton - Fulham,2.72,3.43,2.61,l
Newcastle - Brighton,1.8,4.05,4.14,w
Newcastle - Leicester,1.31,5.86,8.95,d
Brighton - Southampton,1.21,7.3,12.68,w
Manchester City - Chelsea,1.58,4.13,5.85,w
West Ham - Leeds,2.61,3.46,2.68,w
Bournemouth - Manchester Utd,7.29,5.22,1.4,l
Fulham - Crystal Palace,2.35,3.24,3.25,d
Liverpool - Aston Villa,1.49,4.8,6.18,d
Nottingham - Arsenal,5.18,4.16,1.64,w
Tottenham - Brentford,1.95,3.74,3.81,l
Wolves - Everton,3.14,3.44,2.31,d
Manchester Utd - Chelsea,1.54,4.37,5.88,w
Brighton - Manchester City,3.86,4.11,1.83,d
Arsenal - Wolves,1.28,6.08,9.83,w
Aston Villa - Brighton,1.86,4.03,3.81,w
Brentford - Manchester City,3.34,3.56,2.15,w
Chelsea - Newcastle,2.77,3.74,2.38,d
Crystal Palace - Nottingham,1.6,4.09,5.6,d
Everton - Bournemouth,1.61,4.17,5.41,w
Leeds - Tottenham,2.77,3.83,2.36,l
Leicester - West Ham,2.07,3.93,3.24,w
Manchester Utd - Fulham,1.47,4.96,6.01,w
Southampton - Liverpool,5.89,4.93,1.48,d
Arsenal - Everton,1.34,5.5,8.96,w
Brentford - Leeds,2.32,3.79,2.88,l
Brighton - West Ham,2.66,3.47,2.65,w
Burnley - Newcastle,2.48,3.26,3.01,l
Chelsea - Watford,1.19,7.41,15.48,w
Crystal Palace - Manchester Utd,2.81,3.47,2.5,w
Leicester - Southampton,1.71,4.26,4.52,w
Liverpool - Wolves,1.13,9.2,19.34,w
Manchester City - Aston Villa,1.17,8.21,15.64,w
Norwich - Tottenham,9.94,5.56,1.31,l
Everton - Crystal Palace,1.86,3.51,4.58,w
Chelsea - Leicester,1.42,4.91,7.54,d
Aston Villa - Burnley,2.03,3.46,3.84,d
Southampton - Liverpool,6.65,4.9,1.46,l
Newcastle - Arsenal,4.29,3.78,1.83,w
Aston Villa - Crystal Palace,1.85,3.56,4.53,d
Everton - Brentford,1.9,3.6,4.23,l
Leeds - Brighton,2.64,3.45,2.68,d
Tottenham - Burnley,1.31,5.55,10.31,w
Watford - Leicester,5.1,3.95,1.69,l
West Ham - Manchester City,7.92,5.19,1.38,d
Wolves - Norwich,1.53,4.42,6.09,d
Tottenham - Arsenal,2.27,3.45,3.22,w
Leeds - Chelsea,4.86,4.11,1.69,l
Wolves - Manchester City,12,6.14,1.26,l
Watford - Everton,5.71,3.77,1.66,d
Leicester - Norwich,1.33,5.6,9.08,w
Aston Villa - Liverpool,6.42,4.53,1.51,l
Arsenal - Leeds,1.52,4.52,6.19,w
Leicester - Everton,2.65,3.25,2.8,l
Manchester City - Newcastle,1.18,7.87,16.33,w
Norwich - West Ham,4.85,4.01,1.7,l
Brentford - Southampton,2.11,3.51,3.53,w
Brighton - Manchester Utd,3.04,3.34,2.43,w
Burnley - Aston Villa,3.09,3.17,2.48,l
Chelsea - Wolves,1.37,4.9,9.24,d
Crystal Palace - Watford,1.68,3.82,5.39,w
Liverpool - Tottenham,1.43,5.07,7.02,d
Manchester Utd - Brentford,1.76,3.95,4.57,w
Everton - Chelsea,5.1,3.82,1.72,w
Tottenham - Leicester,1.36,5.29,8.93,w
West Ham - Arsenal,4.43,3.93,1.79,l
Aston Villa - Norwich,1.42,4.81,7.82,w
Leeds - Manchester City,9.58,5.77,1.31,l
Newcastle - Liverpool,6.52,4.33,1.53,l
Southampton - Crystal Palace,2.46,3.16,3.14,l
Watford - Burnley,2.63,3.19,2.87,l
Wolves - Brighton,2.75,2.99,2.93,l
Manchester Utd - Chelsea,3.51,3.62,2.08,d
Crystal Palace - Leeds,2.42,3.43,2.97,d
Brighton - Southampton,2.08,3.39,3.79,d
Burnley - Wolves,2.54,3.13,3.05,w
Chelsea - West Ham,1.42,4.8,7.93,w
Liverpool - Everton,1.19,7.37,15.12,w
Arsenal - Manchester Utd,2.04,3.64,3.63,w
Brentford - Tottenham,4.83,3.94,1.72,d
Leicester - Aston Villa,2.96,3.36,2.47,d
Manchester City - Watford,1.11,10.08,24.91,w
Norwich - Newcastle,3.45,3.3,2.22,l
Burnley - Southampton,2.65,3.33,2.76,w
Manchester City - Brighton,1.23,6.43,14.16,w
Newcastle - Crystal Palace,2.28,3.19,3.45,w
Chelsea - Arsenal,1.91,3.48,4.35,l
