TEAM,W,D,L,RESULTS
Southampton-Tottenham,5.75,4.09,1.64,d
Swansea-Liverpool,12,5.75,1.3,w
Huddersfield-Liverpool,12,5.75,1.3,l
Swansea-Arsenal,7,4.59,1.5,w
West Ham-Crystal Palace,3.1,3.25,2.54,d
Chelsea-Bournemouth,1.28,6.5,11,l
Everton-Leicester,3,3.2,2.62,w
Man City-West Brom,1.14,10,21,w
Newcastle-Burnley,2.2,3.2,3.89,d
Southampton-Brighton,1.75,3.5,6,d
Stoke-Watford,2.25,3.5,3.39,d
Tottenham-Man United,2.35,3.29,3.39,w
Arsenal-Everton,1.3,5.75,12,w
Bournemouth-Stoke,1.9,3.7,4.33,w
Brighton-West Ham,2.35,3,3.7,w
Burnley-Man City,13,6,1.28,d
Leicester-Swansea,1.8,3.6,5.25,d
Man United-Huddersfield,1.16,8.5,19,w
West Brom-Southampton,2.54,3.2,3.1,l
Crystal Palace-Newcastle,2.04,3.39,4.2,d
Liverpool-Tottenham,2.1,3.75,3.6,d
Watford-Chelsea,6.25,4,1.61,w
Everton-Crystal Palace,2.25,3.25,3.2,w
Man City-Leicester,1.19,6.5,13,w
Stoke-Brighton,2.2,3.2,3.39,d
Swansea-Burnley,2.37,3,3.25,w
Tottenham-Arsenal,2,3.6,3.5,w
West Ham-Watford,2.5,3.29,2.79,w
Huddersfield-Bournemouth,3.25,3.2,2.25,w
Newcastle-Man United,5.5,3.75,1.61,w
Southampton-Liverpool,4.2,3.79,1.8,l
Chelsea-West Brom,1.36,4.75,8,w
Bournemouth-Newcastle,2.1,3.5,3.79,d
Brighton-Swansea,2.14,3.25,4,w
Burnley-Southampton,2.89,3.1,2.79,d
Leicester-Stoke,1.72,3.89,5.25,d
Liverpool-West Ham,1.22,7.5,13,w
Watford-Everton,2.25,3.39,3.5,w
West Brom-Huddersfield,1.95,3.29,4.75,l
Crystal Palace-Tottenham,7.5,4.5,1.5,l
Man United-Chelsea,2.29,3.25,3.5,w
Arsenal-Man City,4.5,4,1.72,l
Burnley-Everton,2.5,3.1,3.29,w
Leicester-Bournemouth,1.85,3.75,4.5,d
Liverpool-Newcastle,1.22,7,15,w
Southampton-Stoke,1.75,3.75,5.25,d
Swansea-West Ham,2.6,3.25,3,w
Tottenham-Huddersfield,1.19,7.5,17,w
Watford-West Brom,2.14,3.29,3.89,w
Brighton-Arsenal,4.2,3.79,1.9,w
Man City-Chelsea,1.61,4.2,6,w
Crystal Palace-Man United,7,4,1.57,l
Chelsea-Crystal Palace,1.3,5.75,12,w
Everton-Brighton,2.2,3.2,3.89,w
Huddersfield-Swansea,2.54,3.1,3.2,d
Man United-Liverpool,2.75,3.39,2.75,w
Newcastle-Southampton,2.79,3.2,2.79,w
West Brom-Leicester,3,3.25,2.6,l
West Ham-Burnley,2.29,3.2,3.6,l
Arsenal-Watford,1.44,5,7.5,w
Bournemouth-Tottenham,6.5,4.5,1.55,l
Stoke-Man City,15,6.5,1.25,l
Bournemouth-West Brom,1.83,3.6,5,w
Huddersfield-Crystal Palace,3,3.1,2.7,l
Liverpool-Watford,1.19,8,15,w
Stoke-Everton,2.5,3.29,3.1,l
Brighton-Leicester,2.7,3.2,2.62,l
Crystal Palace-Liverpool,7,4.33,1.44,l
Everton-Man City,9,5,1.33,l
Man United-Swansea,1.25,6,10,w
Newcastle-Huddersfield,1.75,3.39,5,w
Watford-Bournemouth,2.29,3.29,3.1,d
West Brom-Burnley,2.5,3,3.1,l
West Ham-Southampton,2.7,3.25,2.6,w
Arsenal-Stoke,1.28,5.5,10,w
Chelsea-Tottenham,2.29,3.29,3.1,l
Bournemouth-Crystal Palace,2.5,3.39,3,d
Brighton-Huddersfield,1.85,3.5,5,d
Everton-Liverpool,4.2,3.75,1.9,d
Leicester-Newcastle,1.95,3.6,4.2,l
Man City-Man United,1.89,3.79,4.2,l
Stoke-Tottenham,11,5.5,1.33,l
Watford-Burnley,2.39,3.2,3.39,l
West Brom-Swansea,2.37,3.2,3.39,d
Arsenal-Southampton,1.57,4.5,6,w
Chelsea-West Ham,1.28,6,12,d
Burnley-Leicester,2.62,3.2,3,w
Crystal Palace-Brighton,1.9,3.5,4.75,w
Huddersfield-Watford,2.62,3.25,3,w
Liverpool-Bournemouth,1.25,7,12,w
Southampton-Chelsea,4.5,3.75,1.85,l
Swansea-Everton,2.54,3.25,3.1,d
Tottenham-Man City,2.62,3.6,2.7,l
Man United-West Brom,1.18,8,19,l
Newcastle-Arsenal,3.29,3.6,2.25,w
West Ham-Stoke,2,3.6,4,d
Brighton-Tottenham,6.5,4.33,1.55,d
Bournemouth-Man United,5,3.89,1.75,l
Burnley-Chelsea,4,3.39,1.9,l
Leicester-Southampton,2.25,3.29,3.2,d
Watford-Crystal Palace,2.89,3.39,2.54,d
West Brom-Liverpool,7.5,4.5,1.5,d
Arsenal-West Ham,1.55,4.59,6,w
Man City-Swansea,1.14,9,23,w
Stoke-Burnley,2.29,3.29,3.5,d
Everton-Newcastle,2.29,3.39,3.39,w
Burnley-Brighton,2.25,3.2,3.7,d
Crystal Palace-Leicester,2.04,3.6,3.79,w
Huddersfield-Everton,2.62,3.1,3.1,l
Liverpool-Stoke,1.33,5.75,10,d
Newcastle-West Brom,1.85,3.6,4.75,l
Southampton-Bournemouth,1.72,4,5,w
Swansea-Chelsea,7,4.33,1.53,l
Man United-Arsenal,1.44,4.75,8,w
West Ham-Man City,10,5.75,1.33,l
Tottenham-Watford,1.16,8.5,21,w
Brighton-Man United,4.75,3.6,1.85,w
Bournemouth-Swansea,2.1,3.6,3.7,w
Everton-Southampton,2.89,3.29,2.62,d
Leicester-West Ham,2.25,3.5,3.39,l
Stoke-Crystal Palace,2.7,3.39,2.79,l
Watford-Newcastle,2.37,3.39,3.2,w
West Brom-Tottenham,8,4.75,1.44,w
Arsenal-Burnley,1.57,4.2,6.5,w
Chelsea-Liverpool,2.25,3.6,3.29,w
Man City-Huddersfield,1.08,13,34,d
Swansea-Southampton,3.1,3.25,2.54,l
Chelsea-Huddersfield,1.16,8.5,19,d
Leicester-Arsenal,3.75,3.79,2,w
Man City-Brighton,1.12,10,27,w
Tottenham-Newcastle,1.18,8.5,17,w
West Ham-Man United,4.75,3.79,1.8,d
Burnley-Bournemouth,2.14,3.5,3.6,l
Crystal Palace-West Brom,1.8,3.79,4.75,w
Huddersfield-Arsenal,6,4.33,1.6,l
Liverpool-Brighton,1.19,8,15,w
Man United-Watford,1.39,5.25,8.5,w
Newcastle-Chelsea,6.5,4.2,1.6,w
Southampton-Man City,9,5,1.39,l
Swansea-Stoke,1.9,3.79,4.2,l
Tottenham-Leicester,1.33,6,9,w
West Ham-Everton,2.45,3.5,3,w
Burnley-Swansea,2.4,3.3,3.25,l
Crystal Palace-West Brom,2,3.3,4.5,l
Everton-Tottenham,3.2,3.4,2.4,d
Hull-Leicester,4.5,3.6,1.91,w
Man City-Sunderland,1.25,6.5,15,w
Middlesbrough-Stoke,2.38,3.2,3.4,d
Southampton-Watford,1.8,3.75,5,d
Arsenal-Liverpool,2.4,3.5,3.1,l
Bournemouth-Man United,4.75,3.6,1.85,l
Chelsea-West Ham,1.65,4,6,w
Man United-Southampton,1.53,4.2,7.5,w
Burnley-Liverpool,6.5,4.2,1.57,w
Leicester-Arsenal,2.88,3.6,2.5,d
Stoke-Man City,5.5,3.8,1.73,l
Swansea-Hull,1.8,3.6,5.25,l
Tottenham-Crystal Palace,1.45,4.75,8,w
Watford-Chelsea,5.5,3.8,1.73,l
West Brom-Everton,3,3.25,2.6,l
Sunderland-Middlesbrough,2.55,3.2,3.1,l
West Ham-Bournemouth,1.95,3.75,4,w
Chelsea-Burnley,1.25,5.5,15,w
Crystal Palace-Bournemouth,2.3,3.2,3.3,d
Everton-Stoke,1.73,3.6,5.25,w
Hull-Man United,8,4.1,1.44,l
Leicester-Swansea,1.73,3.6,5.25,w
Southampton-Sunderland,1.57,3.6,6.5,d
Tottenham-Liverpool,2.38,3.4,3,d
Watford-Arsenal,5,3.75,1.73,l
Man City-West Ham,1.25,6,11,w
West Brom-Middlesbrough,2.6,3.1,2.9,d
Arsenal-Southampton,1.57,4.2,6.5,w
Bournemouth-West Brom,2.05,3.25,4.33,w
Burnley-Hull,2.45,3.1,3.4,d
Liverpool-Leicester,1.7,4,5.5,w
Man United-Man City,2.38,3.25,3.4,l
Middlesbrough-Crystal Palace,2.3,3.2,3.6,l
Stoke-Tottenham,4.6,3.75,1.85,l
West Ham-Watford,1.91,3.6,4.5,l
Swansea-Chelsea,5.75,4,1.67,d
Sunderland-Everton,3.8,3.5,2.1,l
Chelsea-Liverpool,2.25,3.5,3.4,l
Everton-Middlesbrough,1.67,3.8,6,w
Hull-Arsenal,6,4.2,1.6,l
Leicester-Burnley,1.5,4.33,8,w
Man City-Bournemouth,1.29,6,12,w
West Brom-West Ham,2.8,3.2,2.8,w
Crystal Palace-Stoke,2,3.5,4.2,w
Southampton-Swansea,1.7,3.8,5.75,w
Tottenham-Sunderland,1.33,5.5,11,w
Watford-Man United,6,4.2,1.62,w
Arsenal-Chelsea,2.4,3.5,3.1,w
Bournemouth-Everton,3.6,3.5,2.15,w
Liverpool-Hull,1.22,7,15,w
Man United-Leicester,1.73,3.9,5.25,w
Middlesbrough-Tottenham,3.75,3.5,2.1,l
Stoke-West Brom,2.38,3.3,3.3,d
Sunderland-Crystal Palace,2.88,3.25,2.7,l
Swansea-Man City,9,5.5,1.36,l
West Ham-Southampton,2.8,3.3,2.75,l
Burnley-Watford,2.9,3.2,2.7,w
Everton-Crystal Palace,1.73,4,5,d
Hull-Chelsea,7.5,4.5,1.5,l
Sunderland-West Brom,2.5,3.25,3.2,d
Swansea-Liverpool,8,4.75,1.45,l
Watford-Bournemouth,2.38,3.3,3.3,d
West Ham-Middlesbrough,2.25,3.4,3.5,d
Burnley-Arsenal,9,5,1.4,l
Leicester-Southampton,2.25,3.4,3.5,d
Man United-Stoke,1.33,5.75,10,d
Tottenham-Man City,3,3.5,2.5,w
Arsenal-Swansea,1.29,6.5,11,w
Bournemouth-Hull,1.85,3.5,5,w
Chelsea-Leicester,1.57,4.5,6,w
Crystal Palace-West Ham,2.15,3.5,3.6,l
Man City-Everton,1.5,4.75,7,d
Stoke-Sunderland,2,3.6,4,w
West Brom-Tottenham,5.5,3.8,1.73,d
Middlesbrough-Watford,2.25,3.3,3.6,l
Southampton-Burnley,1.4,4.8,9.5,w
Liverpool-Man United,2.2,3.5,3.5,d
Arsenal-Middlesbrough,1.25,6.5,15,d
Bournemouth-Tottenham,4.2,3.6,1.95,d
Burnley-Everton,6,3.8,1.67,w
Hull-Stoke,3.1,3.3,2.5,l
Leicester-Crystal Palace,2.05,3.5,3.9,w
Liverpool-West Brom,1.29,6,13,w
Swansea-Watford,2.38,3.3,3.3,d
West Ham-Sunderland,1.67,4,5.75,w
Chelsea-Man United,2.15,3.4,3.8,w
Man City-Southampton,1.5,4.5,7.5,d
Crystal Palace-Liverpool,5.25,4,1.7,l
Man United-Burnley,1.2,7,19,d
Middlesbrough-Bournemouth,2.5,3.2,3.2,w
Sunderland-Arsenal,9,5,1.4,l
Tottenham-Leicester,1.62,4.2,6,d
Watford-Hull,1.75,3.75,5.25,w
West Brom-Man City,8,4.75,1.44,l
Everton-West Ham,1.8,3.8,4.75,w
Southampton-Chelsea,3.2,3.4,2.4,l
Stoke-Swansea,2.05,3.6,3.8,w
Bournemouth-Sunderland,1.65,4.2,5.5,l
Burnley-Crystal Palace,3.3,3.3,2.38,w
Chelsea-Everton,1.53,4.33,7,w
Man City-Middlesbrough,1.22,7,15,d
West Ham-Stoke,2,3.6,4,d
Arsenal-Tottenham,1.95,3.6,4.2,d
Hull-Southampton,5.75,3.8,1.7,w
Leicester-West Brom,1.8,3.6,5.25,l
Liverpool-Watford,1.29,6,12,w
Swansea-Man United,5,4,1.73,l
Crystal Palace-Man City,6.5,4.5,1.53,l
Everton-Swansea,1.6,4.33,6,d
Man United-Arsenal,2.6,3.4,2.9,d
Southampton-Liverpool,3.4,3.6,2.2,d
Stoke-Bournemouth,2.3,3.4,3.4,l
Sunderland-Hull,2.15,3.4,3.8,w
Tottenham-West Ham,1.5,4.5,7.5,w
Watford-Leicester,2.8,3.3,2.75,w
Middlesbrough-Chelsea,7,4,1.57,l
West Brom-Burnley,1.95,3.4,4.5,w
Burnley-Man City,9,6,1.33,l
Chelsea-Tottenham,1.75,3.8,5.25,w
Hull-West Brom,3.1,3.2,2.6,d
Leicester-Middlesbrough,1.91,3.6,4.5,d
Liverpool-Sunderland,1.17,8.5,19,w
Swansea-Crystal Palace,2.63,3.4,2.88,w
Arsenal-Bournemouth,1.4,5,9,w
Man United-West Ham,1.45,4.75,8,d
Southampton-Everton,2.2,3.4,3.6,w
Watford-Stoke,2.4,3.3,3.3,l
Crystal Palace-Southampton,3.5,3.3,2.3,w
Man City-Chelsea,2.15,3.6,3.6,l
Stoke-Burnley,1.62,4,6.5,w
Sunderland-Leicester,3.4,3.4,2.3,w
Tottenham-Swansea,1.36,5.5,9,w
West Brom-Watford,2.2,3.3,3.75,w
West Ham-Arsenal,4.75,4.2,1.75,l
Bournemouth-Liverpool,5,4,1.75,w
Everton-Man United,3.6,3.5,2.15,d
Middlesbrough-Hull,1.83,3.5,5.25,w
Arsenal-Stoke,1.35,5.5,9.5,w
Burnley-Bournemouth,3.5,3.5,2.2,w
Hull-Crystal Palace,3.5,3.3,2.3,d
Leicester-Man City,5.25,4,1.7,w
Swansea-Sunderland,2.15,3.5,3.6,w
Watford-Everton,3.1,3.4,2.45,w
Chelsea-West Brom,1.25,6.25,15,w
Liverpool-West Ham,1.3,6,11,d
Man United-Tottenham,2.2,3.4,3.6,w
Southampton-Middlesbrough,1.7,3.7,6,w
Bournemouth-Leicester,2.4,3.4,3.2,w
Everton-Arsenal,4.2,3.75,1.91,w
Crystal Palace-Man United,5.25,4,1.7,l
Man City-Watford,1.29,6.5,11,w
Middlesbrough-Liverpool,6,4.33,1.6,l
Stoke-Southampton,3.1,3.3,2.5,d
Sunderland-Chelsea,10,5.75,1.33,l
Tottenham-Hull,1.22,7,15,w
West Brom-Swansea,2.05,3.5,4,w
West Ham-Burnley,1.67,4,5.75,w
Crystal Palace-Chelsea,6.5,4.2,1.57,l
Middlesbrough-Swansea,2.1,3.4,4,w
Stoke-Leicester,2.6,3.4,2.9,d
Sunderland-Watford,2.63,3.3,2.9,w
West Brom-Man United,5.75,3.8,1.7,l
West Ham-Hull,1.62,4.1,6,w
Bournemouth-Southampton,3,3.3,2.6,l
Man City-Arsenal,2.15,3.6,3.5,w
Tottenham-Burnley,1.22,7,15,w
Everton-Liverpool,4.2,3.6,1.95,l
Arsenal-West Brom,1.33,5.5,8.5,w
Burnley-Middlesbrough,2.9,3.1,2.6,w
Chelsea-Bournemouth,1.36,5,8.5,w
Hull-Man City,10,5.5,1.3,l
Leicester-Everton,2.5,3.3,2.9,l
Man United-Sunderland,1.22,6.5,13,w
Swansea-West Ham,2.63,3.2,2.8,l
Watford-Crystal Palace,2.5,3.3,2.9,d
Liverpool-Stoke,1.3,5.5,10,w
Southampton-Tottenham,2.8,3.25,2.6,l
Hull-Everton,4.33,3.5,1.95,d
Burnley-Sunderland,2.4,3.25,3.3,w
Chelsea-Stoke,1.25,6.5,14,w
Leicester-West Ham,2.1,3.6,3.7,w
Liverpool-Man City,2.35,3.6,3.1,w
Man United-Middlesbrough,1.25,6,16,w
Southampton-West Brom,1.75,3.7,5.5,l
Swansea-Bournemouth,2.9,3.4,2.6,l
Arsenal-Crystal Palace,1.29,5.5,9.5,w
Watford-Tottenham,5.5,3.75,1.62,l
Everton-Southampton,2.2,3.4,3.6,w
Man City-Burnley,1.17,8.5,19,w
Middlesbrough-Leicester,2.75,3.2,2.88,d
Sunderland-Liverpool,11,5.5,1.33,d
West Brom-Hull,1.75,3.7,5.5,w
West Ham-Man United,6,4,1.65,l
Bournemouth-Arsenal,4.33,3.4,1.85,d
Crystal Palace-Swansea,1.75,3.5,4.75,l
Stoke-Watford,1.8,3.5,4.5,w
Tottenham-Chelsea,2.63,3.25,2.63,w
Burnley-Southampton,3.6,3.4,2.2,w
Hull-Bournemouth,3.3,3.5,2.3,w
Leicester-Chelsea,6,4.1,1.62,l
Sunderland-Stoke,3.1,3.3,2.5,l
Swansea-Arsenal,7,4.75,1.5,l
Tottenham-West Brom,1.33,5.5,11,w
Watford-Middlesbrough,2.5,3.2,3.2,d
West Ham-Crystal Palace,2.38,3.4,3.2,w
Everton-Man City,4.5,4,1.8,w
Man United-Liverpool,2.15,3.4,3.75,d
Bournemouth-Watford,1.83,3.75,4.75,d
Crystal Palace-Everton,3.25,3.4,2.38,l
Liverpool-Swansea,1.22,7,15,l
Man City-Tottenham,2.15,3.5,3.6,d
Middlesbrough-West Ham,2.5,3.2,3.25,l
Stoke-Man United,6,4.2,1.6,d
West Brom-Sunderland,1.7,3.8,5.75,w
Arsenal-Burnley,1.2,7.5,17,w
Chelsea-Hull,1.18,8,19,w
Southampton-Leicester,1.83,3.5,5.25,w
Arsenal-Watford,1.22,7,15,l
Bournemouth-Crystal Palace,2.05,3.5,3.9,l
Burnley-Leicester,2.9,3.25,2.7,w
Liverpool-Chelsea,2.65,3.25,2.9,d
Middlesbrough-West Brom,2.7,3.1,3,d
Sunderland-Tottenham,9.5,5.25,1.36,d
Swansea-Southampton,3.4,3.4,2.3,w
Man United-Hull,1.2,7.5,17,d
Stoke-Everton,2.88,3.4,2.63,d
West Ham-Man City,6,4.5,1.57,l
Chelsea-Arsenal,1.95,3.6,4.2,w
Crystal Palace-Sunderland,1.7,3.9,5.5,l
Everton-Bournemouth,1.7,4,5.25,w
Hull-Liverpool,8,4.75,1.45,w
Southampton-West Ham,1.85,3.75,4.5,l
Tottenham-Middlesbrough,1.29,6,13,w
Watford-Burnley,2.15,3.3,3.9,w
West Brom-Stoke,2.3,3.25,3.5,w
Leicester-Man United,5.75,4,1.65,l
Man City-Swansea,1.22,7,15,w
Arsenal-Hull,1.29,6,13,w
Liverpool-Tottenham,2.3,3.4,3.4,w
Man United-Watford,1.25,6.5,14,w
Middlesbrough-Everton,3.9,3.3,2.15,d
Stoke-Crystal Palace,2.15,3.3,3.9,w
Sunderland-Southampton,3.9,3.4,2.1,l
West Ham-West Brom,2.25,3.3,3.6,d
Burnley-Chelsea,9,5,1.4,d
Swansea-Leicester,2.4,3.3,3.25,w
Bournemouth-Man City,7.5,5,1.44,l
Chelsea-Swansea,1.25,6.5,15,w
Crystal Palace-Middlesbrough,2.1,3.2,4.2,w
Everton-Sunderland,1.4,5.25,8.5,w
Hull-Burnley,2.15,3.3,3.9,d
Watford-West Ham,2.63,3.3,2.9,d
West Brom-Bournemouth,2.1,3.4,4,w
Tottenham-Stoke,1.44,5,7.5,w
Leicester-Liverpool,5.5,4.2,1.65,w
Leicester-Hull,1.85,3.6,4.75,w
Liverpool-Arsenal,2.15,3.6,3.6,w
Man United-Bournemouth,1.25,6.5,15,d
Stoke-Middlesbrough,1.95,3.4,4.5,w
Swansea-Burnley,2,3.5,4.2,w
Watford-Southampton,3.6,3.4,2.2,l
West Brom-Crystal Palace,2.2,3.3,3.8,l
Sunderland-Man City,11,6.5,1.29,l
Tottenham-Everton,1.67,4.2,5.25,w
West Ham-Chelsea,6,4.1,1.62,l
Man City-Stoke,1.25,6.5,15,d
Bournemouth-West Ham,2.6,3.5,2.8,w
Everton-West Brom,1.67,3.8,6,w
Hull-Swansea,2.55,3.3,3,w
Liverpool-Burnley,1.25,6.5,14,w
Bournemouth-Swansea,2.15,3.5,3.6,w
Crystal Palace-Watford,1.91,3.5,4.75,w
Everton-Hull,1.53,4.33,7,w
Stoke-Chelsea,6.5,4,1.62,l
Sunderland-Burnley,2.55,3.3,3,d
West Brom-Arsenal,5.25,4,1.73,w
West Ham-Leicester,2.3,3.5,3.3,l
Man City-Liverpool,2,3.75,3.8,d
Middlesbrough-Man United,6,3.7,1.7,l
Tottenham-Southampton,1.73,3.8,5.5,w
Burnley-Tottenham,5.75,3.8,1.7,l
Chelsea-Crystal Palace,1.3,5.75,12,l
Hull-West Ham,2.45,3.4,3.1,w
Leicester-Stoke,2.05,3.5,4,w
Liverpool-Everton,1.73,3.9,5.25,w
Man United-West Brom,1.36,5,11,d
Southampton-Bournemouth,1.65,4,6,d
Watford-Sunderland,1.85,3.6,4.75,w
Arsenal-Man City,3.1,3.75,2.3,d
Swansea-Middlesbrough,2,3.4,4.33,d
Burnley-Stoke,2.5,3.1,3.3,w
Leicester-Sunderland,1.45,4.5,8.5,w
Man United-Everton,1.57,4.2,6.5,d
Watford-West Brom,2.5,3.2,3.2,w
Arsenal-West Ham,1.4,5.25,8,w
Chelsea-Man City,2.4,3.5,3.1,w
Hull-Middlesbrough,2.05,3.3,4.2,w
Liverpool-Bournemouth,1.36,5.25,9.5,d
Southampton-Crystal Palace,1.83,3.7,4.75,w
Swansea-Tottenham,5,4,1.73,l
Bournemouth-Chelsea,6.5,4,1.6,l
Man City-Hull,1.2,7.5,17,w
Middlesbrough-Burnley,2.45,3.1,3.4,d
Stoke-Liverpool,4,3.75,1.95,l
Tottenham-Watford,1.25,6.5,15,w
West Brom-Southampton,3,3.3,2.55,l
West Ham-Swansea,2.1,3.6,3.7,w
Everton-Leicester,1.75,3.9,5,w
Sunderland-Man United,10,5.25,1.36,l
Crystal Palace-Arsenal,4.5,3.9,1.83,w
Crystal Palace-Leicester,1.73,3.6,4.75,d
Everton-Burnley,1.4,4.5,8,w
Southampton-Man City,4.33,4,1.73,l
Stoke-Hull,1.95,3.3,4,w
Sunderland-West Ham,3.3,3.25,2.2,d
Tottenham-Bournemouth,1.25,6,10,w
Watford-Swansea,2.4,3.3,2.9,w
Man United-Chelsea,2.55,3.2,2.8,w
West Brom-Liverpool,4,3.8,1.8,l
Middlesbrough-Arsenal,7,4,1.5,l
Bournemouth-Middlesbrough,1.85,3.75,4.5,w
Hull-Watford,1.91,3.7,4.33,w
Swansea-Stoke,2.2,3.4,3.6,w
West Ham-Everton,3.3,3.6,2.25,d
Burnley-Man United,5.75,4,1.67,l
Liverpool-Crystal Palace,1.5,4.75,7,l
Chelsea-Southampton,1.45,4.6,8.5,w
Arsenal-Leicester,1.6,4.5,5.75,w
Crystal Palace-Tottenham,5.5,4.2,1.65,l
Middlesbrough-Sunderland,2.3,3.4,3.4,w
Man City-Man United,1.91,3.75,4.2,d
Crystal Palace-Burnley,1.75,3.5,4.75,l
Southampton-Hull,1.6,3.75,5.75,d
Stoke-West Ham,2,3.5,3.6,d
Sunderland-Bournemouth,3,3.4,2.3,l
West Brom-Leicester,2.4,3.5,2.75,l
Everton-Chelsea,3.5,3.6,2,l
Man United-Swansea,1.36,4.75,8,d
Middlesbrough-Man City,13,5.25,1.25,d
Tottenham-Arsenal,1.85,3.75,4,w
Watford-Liverpool,5.75,4.5,1.5,l
West Ham-Tottenham,8.5,5.25,1.4,w
Bournemouth-Stoke,2.25,3.6,3.3,d
Burnley-West Brom,2.25,3.3,3.6,d
Hull-Sunderland,1.44,4.75,8,l
Leicester-Watford,1.57,4.2,6.5,w
Man City-Crystal Palace,1.29,6.5,11,w
Swansea-Everton,2.8,3.5,2.63,w
Arsenal-Man United,1.91,3.7,4.33,w
Liverpool-Southampton,1.62,4.2,6,d
Chelsea-Middlesbrough,1.17,9,19,w
Southampton-Arsenal,3.6,3.8,2.05,l
Everton-Watford,1.5,4.5,7.5,w
West Brom-Chelsea,10,5.25,1.36,l
Bournemouth-Burnley,1.91,3.75,4.2,w
Man City-Leicester,1.25,7,12,w
Middlesbrough-Southampton,4,3.6,2,l
Stoke-Arsenal,4.75,4.1,1.75,l
Sunderland-Swansea,4.2,3.8,1.91,l
Crystal Palace-Hull,2.1,3.6,3.75,w
Tottenham-Man United,1.73,3.9,5.25,w
West Ham-Liverpool,5.25,4,1.7,l
Chelsea-Watford,1.25,6.75,13,w
Arsenal-Sunderland,1.09,13,29,w
Man City-West Brom,1.14,9,23,w
Southampton-Man United,2.75,3.3,2.8,d
Leicester-Tottenham,4.5,3.8,1.85,l
Arsenal-Everton,1.45,5,7.5,w
Burnley-West Ham,2.45,3.5,3,l
Chelsea-Sunderland,1.14,9,23,w
Hull-Tottenham,7,4.75,1.5,l
Leicester-Bournemouth,2,3.6,4,d
Liverpool-Middlesbrough,1.14,9,23,w
Man United-Crystal Palace,2.5,3.3,3.1,w
Southampton-Stoke,1.8,3.8,4.75,l
Swansea-West Brom,2.1,3.5,3.75,w
Watford-Man City,11,6,1.3,l
